Wins Above Replacement--all
9 | Bellinger | LAD | 12.7
10 | Anderson | CHW | 12.7


AB per SO
1 | Fletcher | LAA | 11.4
2 | La Stella | LAA | 10.5
3 | Alberto | BAL | 9.8
4 | Brantley | HOU | 9.3
5 | Verdugo | LAD | 9.3
6 | Gurriel | HOU | 9.2
7 | Panik | SFG | 8.4
8 | Reddick | HOU | 8.2
9 | Segura | PHI | 7.9
10 | Frazier | PIT | 7.9


AB per HR
1 | Renfroe | SDP | 10.1
2 | Yelich | MIL | 10.1
3 | Trout | LAA | 10.3
4 | Bellinger | LAD | 10.5
5 | Gallo | TEX | 10.5 **
6 | Alonso | NYM | 11.1
7 | Sanchez | NYY | 11.1
8 | Reyes | SDP | 11.3
9 | Bruce | 2TM | 11.4
10 | Encarnacion | 2TM | 12.5


Outs Made
1 | Semien | OAK | 294
2 | Castro | MIA | 291
3 | Cain | MIL | 281
3 | Merrifield | KCR | 281
5 | Santana | SEA | 276
6 | Baez | CHC | 274
6 | Soler | KCR | 274
8 | Villar | BAL | 273
9 | Abreu | CHW | 272
9 | Acuna | ATL | 272


Base-Out Runs Added (RE24)
1 | Trout | LAA | 53.88
2 | Bellinger | LAD | 42.71
3 | Yelich | MIL | 40.35
4 | LeMahieu | NYY | 36.17
5 | Arenado | COL | 32.38
6 | Devers | BOS | 31.79
7 | Freeman | ATL | 31.49
8 | Blackmon | COL | 30.20
9 | Bell | PIT | 28.74
10 | Bogaerts | BOS | 28.29


Win Probability Added (WPA)
1 | Yelich | MIL | 4.3
2 | Trout | LAA | 4.2
3 | Bellinger | LAD | 4.1
4 | Bogaerts | BOS | 3.1
5 | Blackmon | COL | 2.8
6 | Muncy | LAD | 2.7
7 | LeMahieu | NYY | 2.7
8 | Chapman | OAK | 2.7
9 | Choo | TEX | 2.6
10 | Freeman | ATL | 2.6


Situ. Wins Added (WPA/LI)
1 | Bellinger | LAD | 4.8
2 | Trout | LAA | 4.6
3 | Yelich | MIL | 4.1
4 | Bell | PIT | 2.7
5 | Alonso | NYM | 2.6
6 | Bregman | HOU | 2.5
7 | Bryant | CHC | 2.5
8 | Chapman | OAK | 2.3
9 | Freeman | ATL | 2.3
10 | Santana | CLE | 2.3


Base-Out Wins Added (REW)
1 | Trout | LAA | 5.0
2 | Bellinger | LAD | 4.0
3 | Yelich | MIL | 3.7
4 | LeMahieu | NYY | 3.3
5 | Devers | BOS | 2.9
6 | Freeman | ATL | 2.9
7 | Arenado | COL | 2.8
8 | Bell | PIT | 2.7
9 | Bogaerts | BOS | 2.6
10 | Blackmon | COL | 2.6


Overall Statistical Standings
1 | Bellinger  |  LAD | 2330 
2 | Trout  |  LAA | 2200 
3 | Yelich  |  MIL | 2090 
4 | Bell  |  PIT | 1220 
5 | Alonso  |  NYM | 930 
6 | Freeman  |  ATL | 790 
7 | Merrifield  |  KCR | 790 
8 | Santana  |  CLE | 680 
9 | Bregman  |  HOU | 630 
10 | Devers  |  BOS | 530 
